seller_id,seller_zip_code_prefix,seller_city,seller_state
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,SP
a416b6a846a11724393025641d4edd5e,3702,sao paulo,SP
7e93a43ef30c4f03f38b393420bc753a,6429,barueri,SP
ef506c96320abeedfb894c34db06f478,3569,sao paulo,SP
7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,MG
b2479f944e1b90cf8a5de1bbfde284d6,14940,ibitinga,SP
669ae81880e08f269a64487cfb287169,89160,rio do sul,SC
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG
37be5a7c751166fbc5f8ccba4119e043,4248,sao paulo,SP
e24d3429d294b2eb200b064ebb035879,3514,sao paulo,SP
ffc470761de7d0232558ba5e786e57b7,7091,guarulhos,SP
229c3efbfb0ea2058de4ccdfbc3d784a,30190,belo horizonte,MG
fa40cc5b934574b62717c68f3d678b6d,2310,sao paulo,SP
9e6229250fedbe05838fef417b74e7fb,16800,mirandopolis,SP
3db66a856d18a9cba7c9241fc5221c50,35430,ponte nova,MG
a17f621c590ea0fab3d5d883e1630ec6,18055,sorocaba,SP
7d13fca15225358621be4086e1eb0964,14050,ribeirao preto,SP
1b4c3a6f53068f0b6944d2d005c9fc89,88730,sao ludgero,SC
a3e9a2c700480d9bb01fba070ba80a0e,14940,ibitinga,SP
516e7738bd8f735ac19a010ee5450d8d,22230,rio de janeiro,RJ
9f505651f4a6abe901a56cdc21508025,4102,sao paulo,SP
7142540dd4c91e2237acb7e911c4eba2,16301,penapolis,SP
5f3ae9136c875522250f8184f253413a,1550,sao paulo,SP
8e6d7754bc7e0f22c96d255ebda59eba,12233,sao jose dos campos,SP
8b321bb669392f5163d04c59e235e066,1212,sao paulo,SP
b4f8921fcc4ff77b66bea6dda43dcd51,95034,caxias do sul,RS
cab85505710c7cb9b720bceb52b01cee,2252,sao paulo,SP
537eb890efff034a88679788b647c564,20270,rio de janeiro,RJ
cea729054f157f5870bdd321a958d994,3161,sao paulo,SP
955fee9216a65b617aa5c0531780ce60,4782,sao paulo,SP
7d7866a99a8656a42c7ff6352a433410,1320,sao paulo,SP
01cf7e3d21494c41fb86034f2e714fa1,85603,francisco beltrao,PR
ceaec5548eefc6e23e6607c5435102e7,3821,sao paulo,SP
e9bc59e7b60fc3063eb2290deda4cced,87083,maringa,PR
5670f4db5b62c43d542e1b2d56b0cf7c,3694,sao paulo,SP
610f72e407cdd7caaa2f8167b0163fd8,1201,sao paulo,SP
cfb1a033743668a192316f3c6d1d2671,18110,votorantim,SP
dd7ddc04e1b6c2c614352b383efe2d36,3471,sao paulo,SP
f457c46070d02cadd8a68551231220dd,87047,maringa,PR
1f50f920176fa81dab994f9023523100,15025,sao jose do rio preto,SP
5bc237df65098fe211bb4818f4d26d78,38410,uberlandia,MG
6a38087bc8ad4f89ff453561005f6dea,75123,anapolis,GO
f84a00e60c73a49e7e851c9bdca3a5bb,20756,rio de janeiro,RJ
f45122a9ab94eb4f3f8953578bc0c560,13419,piracicaba,SP
7901646fdd36a55f564ffaf2dbccaaf7,20021,rio de janeiro,RJ
48436dade18ac8b2bce089ec2a041202,27277,volta redonda,SP
8ed8ea9a57c862f2c18c2fe41f601d56,89030,blumenau,SC
1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG
ef0ace09169ac090589d85746e3e036f,24451,sao goncalo,RJ
87142160b41353c4e5fca2360caf6f92,90230,porto alegre,RS
fa1c13f2614d7b5c4749cbc52fecda94,13170,sumare,SP
3504c0cb71d7fa48d967e0e4c94d59d9,9350,maua,SP
34d1ca11b242c0fee2c834ae8d788566,36415,congonhas,MG
96493fab2fbb13a14d0c0e8772eef5c3,5537,sao paulo,SP
99eaacc9e6046db1c82b163c5f84869f,14400,franca,SP
d98eec89afa3380e14463da2aabaea72,90010,porto alegre,RS
c3cfdc648177fdbbbb35635a37472c53,80610,curitiba,PR
2138ccb85b11a4ec1e37afbd1c8eda1f,8250,sao paulo,SP
ef30892870c278497523264be1be2241,14801,araraquara,SP
ad420dd0c4f92f8af951ac24b86d0cf5,38230,fronteira,MG
e8b4225284fbb02d16f200513f1f395d,14960,novo horizonte,SP
f61c63d13f7cd800549d5acdd390ae72,18185,pilar do sul,SP
391fc6631aebcf3004804e51b40bcf1e,14940,ibitinga,SP
e59aa562b9f8076dd550fcddf0e73491,82810,curitiba,PR
e9779976487b77c6d4ac45f75ec7afe9,11701,praia grande,SP
db4350fd57ae30082dec7acbaacc17f9,3126,sao paulo,SP
6426d21aca402a131fc0a5d0960a3c90,14091,ribeirao preto,SP
8a432f4e5b471f8da497d7dc517666e2,19042,presidente prudente,SP
bfd27a966d91cfaafdb25d076585f0da,13930,serra negra,SP
c03121937e54a93fcc1825c3098bbb6e,82800,curitiba,PR
5996cddab893a4652a15592fb58ab8db,19010,presidente prudente,SP
1690cada046eb7e92c12f98b1f8a8167,1303,sao paulo,SP
42b729f859728f5079499127a9c2ef37,3910,sao paulo,SP
47efca563408aae19bb7206c2d969ea9,64033,teresina,PI
9c0e69c7bf2619675bbadf47b43f655a,12230,sao jose dos campos,SP
6edacfd9f9074789dad6d62ba7950b9c,7135,guarulhos,SP
8d956fec2e4337affcb520f56fd8cbfd,9780,sao bernardo do campo,SP
e5a3438891c0bfdb9394643f95273d8e,13483,limeira,SP
d3dcf0604eabf0224fbd5948b5e02f69,3654,sao paulo,SP
6c7d50c24b3ccd2fd83b44d8bb34e073,19025,presidente prudente,SP
ca3bd7cd9f149df75950150d010fe4a2,4361,sao paulo,SP
323ce52b5b81df2cd804b017b7f09aa7,3306,sao paulo,SP
20d83f3ef0e6925fd74bfd59170babf7,2804,sao paulo,SP
3785b653b1b82de85ab47dd139938091,85640,ampere,PR
c54679b132454625907c773d273d4126,11443,guaruja,SP
1a3df491d1c4f1589fc2b934ada68bf2,89224,joinville,SC
6560211a19b47992c3666cc44a7e94c0,5849,sao paulo,SP
0b90b6df587eb83608a64ea8b390cf07,87025,maringa,PR
a420f60ff1aa9acc80d0e42959f2b313,5138,sao paulo,SP
8602a61d680a10a82cceeeda0d99ea3d,1001,sao paulo,SP
13fa2a6c6b9d0f43cb588d7c82117a12,3567,sao paulo,SP
640e21a7d01df7614a3b4923e990d40c,14940,ibitinga,SP
6b536a23086fba0d58c08d68814397f6,24346,niteroi,RJ
6b243f80ed07b10f0e8aa0f21a205f3c,81825,curitiba,PR
b32be1695eb7ec5f10f72d9610a12527,95012,caxias do sul,RS
53243585a1d6dc2643021fd1853d8905,42738,lauro de freitas,BA
966cb4760537b1404caedd472cc610a5,9920,diadema,SP
59b22a78efb79a4797979612b885db36,38414,uberlandia,MG
ea8482cd71df3c1969d7b9473ff13abc,4160,sao paulo,SP
fe2032dab1a61af8794248c8196565c9,13030,campinas,SP
1c56ffe0e9dea2657fc6e95b53f40b13,13575,sao carlos,SP
18a349e75d307f4b4cc646a691ed4216,1319,sao paulo,SP
12b9676b00f60f3b700e83af21824c0e,95780,montenegro,RS
08061dc0fc165ed41288cc7acde738ee,6036,osasco,SP
2a84855fd20af891be03bc5924d2b453,30111,belo horizonte,MG
8cbac7e12637ed9cffa18c7875207478,89254,jaragua do sul,SC
f4c4daa86e30c7e5a553a8d518ac03a5,85801,cascavel,PR
41b39e28db005d9731d9d485a83b4c38,9220,santo andre,SP
001cca7ae9ae17fb1caed9dfb1094831,29156,cariacica,ES
2e0dba2da448400b1c11d7b4b22f32a4,9070,santo andre,SP
dbc22125167c298ef99da25668e1011f,37564,borda da mata,MG
56e361f411e38dcef17cdc2a3d99628b,7113,guarulhos,SP
d91fb3b7d041e83b64a00a3edfb37e4f,11704,praia grande,SP
688756f717c462a206ad854c5027a64a,7094,guarulhos,SP
c864036feaab8c1659f65ea4faebe1da,83605,campo largo,PR
ba143b05f0110f0dc71ad71b4466ce92,2274,sao paulo,SP
dbd66278cbfe1aa1000f90a217ca4695,5588,sao paulo,SP
7c67e1448b00f6e969d365cea6b010ab,8577,itaquaquecetuba,SP
91f0eec23d4a61d7d7caeefa3f0ad1ca,88704,tubarao,SC
01fdefa7697d26ad920e9e0346d4bd1b,86050,londrina,PR
43f8c9950d11ecd03a0304a49e010da6,6341,carapicuiba,SP
9dda5bbacd45e18d6485fee649205d09,37540,santa rita do sapucai,MG
1d8dbc4f32378d715c717c1c1fc57bae,86706,arapongas,PR
2156f2671501a81034d7d07f217609d0,4776,sp,SP
128639473a139ac0f3e5f5ade55873a5,87050,maringa,PR
25c5c91f63607446a97b143d2d535d31,35680,itauna,MG
70c27847eca8195c983ed7e798c56743,20930,rio de janeiro,RJ
b839e41795b7f3ad94cc2014a52f6796,9541,sao caetano do sul,SP
a3b0df0065e264a91b7bbf5f844af5cd,9721,sao bernardo do capo,SP
0dd184061fb0eaa7ca37932c68ab91c5,7031,guarulhos,SP
559d56f3b8f0bc2e5a9a62fe2ce2a39f,89220,joinville,SC
c3867b4666c7d76867627c2f7fb22e21,14580,guara,SP
058fd0aa2bfdb2274e05e1ae971dabb6,9020,santo andre,SP
e88c9b79e592e370d6bd852eeefbf057,85501,pato branco,PR
f262cbc1c910c83959f849465454ddd3,3564,sao paulo,SP
6338ea67c41078a46ad99cc009654956,95170,farroupilha,RS
06e5eefc71ec47ae763c5c6f8db7064f,91350,porto alegre,RS
6d66611d7c44cc30ce351abc49a68421,4378,sao paulo,SP
e48cc16ab70bfa09e1401740dce0b3d7,16022,aracatuba,SP
76d5af76d0271110f9af36c92573f765,3194,sao paulo,SP
cc419e0650a3c5ba77189a1882b7556a,9015,santo andre,SP
7008613ea464bad5cb9b83456e1e6a8f,89460,canoinhas,SC
c4fb51fb1c5b7c07bc5e67be6e7e8f6e,80060,curitiba,PR
7ad32824caee82087b3e2e5f33b1bf32,14940,ibitinga,SP
54965bbe3e4f07ae045b90b0b8541f52,85851,foz do iguacu,PR
06532f10282704ef4c69168b914b77be,87140,paincandu,PR
c31eff8334d6b3047ed34bebd4d62c36,13322,salto,SP
b2ba3715d723d245138f291a6fe42594,3470,sao paulo,SP
b410bdd36d5db7a65dcd42b7ead933b8,74645,goiania,GO
31344c16881c08a8a72c6d2eb29918c1,36500,uba,MG
fcb5ace8bcc92f75707dc0f01a27d269,7032,guarulhos,SP
8931a84a914b3fe9b1ddaa4d704947ca,8410,sao paulo,SP
bd0389da23d89b726abf911cccc54596,71691,brasilia,DF
855668e0971d4dfd7bef1b6a4133b41b,13257,itatiba,SP
1c68394e931a64f90ea236c5ea590300,87114,sarandi,PR
77530e9772f57a62c906e1c21538ab82,80310,curitiba,PR
65b081a070633e057c462abdd6fb9dd8,75650,morrinhos,GO
edf96ef93ed595084bbcbd9224bd2894,1545,sao paulo,SP
6a8b085f816a1f75f92dbac6eb545f8f,14709,bebedouro,SP
f3295428338a40977a03f555246a70f4,29032,vitoria,ES
582d4f8675b945722eda7c0cb61ba4c7,11250,bertioga,SP
bf84056e679dbe9c69929847a40e338f,2537,sao paulo,SP
1c129092bf23f28a5930387c980c0dfc,2972,sao paulo,SP
