order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
00010242fe8c5a6d1ba2dd792cb16214,3ce436f183e68e07877b285a838db11a,delivered,2017-09-13 08:59:02,2017-09-13 09:45:35,2017-09-19 18:34:16,2017-09-20 23:43:48,2017-09-29 00:00:00
00018f77f2f0320c557190d7a144bdd3,f6dd3ec061db4e3987629fe6b26e5cce,delivered,2017-04-26 10:53:06,2017-04-26 11:05:13,2017-05-04 14:35:00,2017-05-12 16:04:24,2017-05-15 00:00:00
000229ec398224ef6ca0657da4fc703e,6489ae5e4333f3693df5ad4372dab6d3,delivered,2018-01-14 14:33:31,2018-01-14 14:48:30,2018-01-16 12:36:48,2018-01-22 13:19:16,2018-02-05 00:00:00
00024acbcdf0a6daa1e931b038114c75,d4eb9395c8c0431ee92fce09860c5a06,delivered,2018-08-08 10:00:35,2018-08-08 10:10:18,2018-08-10 13:28:00,2018-08-14 13:32:39,2018-08-20 00:00:00
00042b26cf59d7ce69dfabb4e55b4fd9,58dbd0b2d70206bf40e62cd34e84d795,delivered,2017-02-04 13:57:51,2017-02-04 14:10:13,2017-02-16 09:46:09,2017-03-01 16:42:31,2017-03-17 00:00:00
00048cc3ae777c65dbb7d2a0634bc1ea,816cbea969fe5b689b39cfc97a506742,delivered,2017-05-15 21:42:34,2017-05-17 03:55:27,2017-05-17 11:05:55,2017-05-22 13:44:35,2017-06-06 00:00:00
00054e8431b9d7675808bcb819fb4a32,32e2e6ab09e778d99bf2e0ecd4898718,delivered,2017-12-10 11:53:48,2017-12-10 12:10:31,2017-12-12 01:07:48,2017-12-18 22:03:38,2018-01-04 00:00:00
000576fe39319847cbb9d288c5617fa6,9ed5e522dd9dd85b4af4a077526d8117,delivered,2018-07-04 12:08:27,2018-07-05 16:35:48,2018-07-05 12:15:00,2018-07-09 14:04:07,2018-07-25 00:00:00
0005a1a1728c9d785b8e2b08b904576c,16150771dfd4776261284213b89c304e,delivered,2018-03-19 18:40:33,2018-03-20 18:35:21,2018-03-28 00:37:42,2018-03-29 18:17:31,2018-03-29 00:00:00
0005f50442cb953dcd1d21e1fb923495,351d3cb2cee3c7fd0af6616c82df21d3,delivered,2018-07-02 13:59:39,2018-07-02 14:10:56,2018-07-03 14:25:00,2018-07-04 17:28:31,2018-07-23 00:00:00
00061f2a7bc09da83e415a52dc8a4af1,c6fc061d86fab1e2b2eac259bac71a49,delivered,2018-03-24 22:16:10,2018-03-24 22:28:09,2018-03-27 05:26:55,2018-03-29 00:04:19,2018-04-09 00:00:00
00063b381e2406b52ad429470734ebd5,6a899e55865de6549a58d2c6845e5604,delivered,2018-07-27 17:21:27,2018-07-27 18:00:06,2018-07-30 14:52:00,2018-08-07 13:56:52,2018-08-07 00:00:00
0006ec9db01a64e59a68b2c340bf65a7,5d178120c29c61748ea95bac23cb8f25,delivered,2018-07-24 17:04:17,2018-07-24 17:24:20,2018-07-25 11:02:00,2018-07-31 01:04:15,2018-08-22 00:00:00
0008288aa423d2a3f00fcb17cd7d8719,2355af7c75e7c98b43a87b2a7f210dc5,delivered,2018-02-13 22:10:21,2018-02-15 03:55:52,2018-02-20 18:23:28,2018-02-26 13:55:22,2018-03-06 00:00:00
0009792311464db532ff765bf7b182ae,2a30c97668e81df7c17a8b14447aeeba,delivered,2018-08-14 20:43:09,2018-08-15 12:15:10,2018-08-15 15:28:00,2018-08-22 12:02:27,2018-08-28 00:00:00
0009c9a17f916a706d71784483a5d643,8a250edc40ebc5c3940ebc940f16a7eb,delivered,2018-04-25 09:10:41,2018-04-25 09:33:19,2018-04-27 15:14:00,2018-04-30 17:54:25,2018-05-09 00:00:00
000aed2e25dbad2f9ddb70584c5a2ded,fff5169e583fd07fac9fec88962f189d,delivered,2018-05-11 20:33:38,2018-05-11 20:57:03,2018-05-16 14:26:00,2018-05-18 16:46:31,2018-05-22 00:00:00
000c3e6612759851cc3cbb4b83257986,3773bcf1a6fbd29233ea1c1b573c4f22,delivered,2017-08-12 10:08:57,2017-08-15 03:35:32,2017-08-15 15:32:51,2017-08-19 15:22:17,2017-09-01 00:00:00
000e562887b1f2006d75e0be9558292e,2b01d668726fb0b751c55918c0437b7b,delivered,2018-02-22 11:54:42,2018-02-22 12:08:37,2018-02-26 14:18:32,2018-03-12 18:46:34,2018-03-19 00:00:00
000e63d38ae8c00bbcb5a30573b99628,98884e672c5ba85f4394f2044e1a3eab,delivered,2018-03-23 19:48:26,2018-03-23 20:07:49,2018-03-26 21:38:48,2018-03-27 14:51:47,2018-04-05 00:00:00
000e906b789b55f64edcb1f84030f90d,6a3b2fc9f270df258605e22bef19fd88,delivered,2017-11-21 18:54:23,2017-11-21 19:09:02,2017-11-22 20:46:54,2017-12-09 17:27:23,2017-12-07 00:00:00
000f25f4d72195062c040b12dce9a18a,86ade8ebc14f18dd6c3ea75bd0eb7534,delivered,2018-03-07 10:33:13,2018-03-07 11:10:11,2018-03-16 15:58:31,2018-03-22 16:51:52,2018-04-11 00:00:00
001021efaa8636c29475e7734483457d,2dfbf74859104caf100df3720a1d833d,delivered,2018-02-27 09:27:14,2018-02-27 09:35:41,2018-02-27 21:43:46,2018-03-08 20:06:33,2018-03-23 00:00:00
0010b2e5201cc5f1ae7e9c6cc8f5bd00,57ef317d4818cb42680fc9dfd13867ce,delivered,2017-09-11 17:39:33,2017-09-11 18:04:37,2017-09-12 17:02:57,2017-09-23 13:21:21,2017-09-27 00:00:00
00119ff934e539cf26f92b9ef0cdfed8,7dd2e283f47deac853cf70f3b63c8d86,delivered,2017-08-06 00:42:49,2017-08-07 00:35:12,2017-08-07 21:12:34,2017-08-16 17:29:59,2017-08-31 00:00:00
0011d82c4b53e22e84023405fb467e57,2013d892495e1a101d742d533d2d1119,delivered,2018-01-16 21:43:23,2018-01-16 21:51:25,2018-01-23 22:08:06,2018-01-26 22:14:02,2018-02-15 00:00:00
00125cb692d04887809806618a2a145f,8afb90a97ee661103014329b1bcea1a2,delivered,2017-03-23 12:21:17,2017-03-23 13:05:42,2017-03-27 08:58:04,2017-04-07 15:32:47,2017-04-20 00:00:00
00130c0eee84a3d909e75bc08c5c3ca1,47d656c08a282ec5ab4c1f18303a3a30,delivered,2018-06-11 21:17:00,2018-06-12 05:16:24,2018-06-12 14:22:00,2018-06-13 15:28:25,2018-06-20 00:00:00
0013503b13da1eac686219390b7d641b,f7277fce45fad3165379c15cacf5ddbe,delivered,2017-12-05 23:40:59,2017-12-07 03:16:36,2017-12-07 22:59:30,2017-12-20 22:46:28,2017-12-28 00:00:00
00137e170939bba5a3134e2386413108,7b63cba66b8e6d002e94d0990c1e2868,delivered,2017-11-24 16:50:38,2017-11-25 06:30:55,2017-11-28 19:43:52,2017-12-11 19:12:55,2017-12-18 00:00:00
