customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
06b8999e2fba1a1fbc88172c00ba8bc7,861eff4711a542e4b93843c6dd7febb0,14409,franca,SP
411373e81bbd24b0356ca1274e9c03fe,c555d42202667b1e09e50e7667b6a663,68908,macapa,AP
f9dfd7942a2d7f1588b7638a9bdc8ff1,ebf40c0db4fe06ddd15a7a44238c986e,24240,niteroi,RJ
0825646a316d8b2bdddea079a5e01fda,be2cff6c84f1683300337ecd499992e0,4001,sao paulo,SP
48ed31e735f1c420ed6ca3637b7c744d,55a269f324455e78349e7b9b7e7e5911,8072,sao paulo,SP
a666bb7a77916be2716fa1420c73c56f,4e65032f1f574189fb793bac5a867bbc,9531,sao caetano do sul,SP
4b4773853bbbc435ddddd51bd6c6a002,f94d7c267f1bb6956a0c6c6fef65da8b,92425,canoas,RS
63cff72cfb37670b3c826dedcaf32a6d,e2c40c8b0afea459059e4f2b8d22b6f0,85350,nova laranjeiras,PR
71cd7e5e11ae80ed42c6c57ff51a347d,26f8790baee110479bb7cb362e16134a,95795,sao vendelino,RS
32f56b65a879ae7a310257eb5bf070aa,03466aa4289c03856add8a3537f914cd,4434,sao paulo,SP
366c88e3ee5ed365c8529a9639c8b91c,8797820f6554668a5b835ff74cd077df,96400,bage,RS
db524d69694d9b945d58f4dad03d914e,a046d29175845b313e52f2dff96cc050,5366,sao paulo,SP
9bc4a258f344f7de44ca841d25a497fd,f372db7693e8b9df2f201a59b1a15c20,70680,brasilia,DF
b8e531fc27d1abbe69022fc27589b3a1,96e7f8f0dbefaa6e16563ac77d339bf0,21321,rio de janeiro,RJ
97dc92f1aae3a7db8b252d1b8466910e,d5faae3f913e775994e53068992969b5,70670,brasilia,DF
898107309c7e33b88d7141ebde723c17,8e23478d59ab253ef04d4d2056ebeb93,89240,sao francisco do sul,SC
a338432949ddc9b9e6bee3d2695d655e,a15630ebd61b2a42d78cb93fbebeda88,3143,sao paulo,SP
14c152bfbd60c86aa6bc4d4e68a9378e,51364d114acc5ab07134bd34edaa1722,99010,passo fundo,RS
b6a1445ee505f3a95c827e7a5188ad02,100bf2da12cc1fd1b556507aa87bf3a1,79117,campo grande,MS
76c6370ab8b030109448c39db2b9e08c,81d59547135bb962c771484f86d08c11,31720,belo horizonte,MG
84dac31647902f79570207a7f29c2675,bcbab0dedb521d9c5412dd8913b2c900,9015,santo andre,SP
d96e5c4400413a11fa8c9fd54be4a20b,22b12c9c5bc6ba994b2423d87d3bb88a,29122,vila velha,ES
1e427598ddcfbca80566d2bcd92dd995,038301b43811478e1a8dc0e476eaf52e,5335,sao paulo,SP
6cae94f1f58ab679c23ceb753967c9bf,58a7135fcd46147533c2f50747435ec2,34007,nova lima,MG
9143de688296ba2531bed7883a7f31c2,dcae8fca76db245777ee6f6f3f6d3253,97300,sao gabriel,RS
eb4fea182012be623175b35ee37dfe50,9ad4f9335cac4ef80ebf85ce93dee011,21370,rio de janeiro,RJ
cca819156e50623e9d3762ebeee308dc,2fe9477037604b2d6f60ffc998eb0812,6458,barueri,SP
c903ba1283fbd5c51a9bad4ec9fd8d97,6e2064e4da450befb0b70bb2f0c68f64,13405,piracicaba,SP
3e49d94c6d8ad4a1f5589db832772317,77479db0fa60ddc453f3743abc02be23,20940,rio de janeiro,RJ
20296443465a67e0ac27c5a61f685453,b0cc15ee23845ff07ad13a3af4f34a46,8260,sao paulo,SP
8935036852a292fe1f61a03c7d51831d,c7e96f28f6556e49a8cb36b624a2b117,28970,araruama,RJ
4292ad887342214c93ed734b90355ce8,01d4d353f424ed250bf892af49d30abe,20521,rio de janeiro,RJ
33653a722db1d2f6bfe739b3a07f11d6,01689985c22786e41347d5167048b25e,79002,campo grande,MS
58dbd0b2d70206bf40e62cd34e84d795,64b576fb70d441e8f1b2d7d446e483c5,13226,varzea paulista,SP
a59a22655d75791a336909c4bd133fbe,c76c0ebec1c44b44dca88e42b23149f1,41815,salvador,BA
84ddc138522822dfb51b603c2f466a18,199888480790cc4f6135f3a3e11af83e,22743,rio de janeiro,RJ
6dc7d8b1ac961fe9d43edb6ecadd5f10,1024d89da874e3e84179752404838ab0,80210,curitiba,PR
6ecb390e8056057a25a1b49c37206958,8c81d87b1a876ac44f968c7f112501f5,73760,sao joao d'alianca,GO
ed3cfd8b632008c67e448e6cafd0738c,d69dd0996ca6a4f85b132eca6f19ef3d,9351,maua,SP
db19e8cffbc71ab7e1c29a1d6e4935e0,8ce353674a24c115d631c6207efd3e4d,7941,francisco morato,SP
a5fd6dd86d703cedc9ab6be3dba12816,248d18ee4a4b0977fd21ef3273eb4352,2724,sao paulo,SP
f864bce0fe28292472d76696b4c4639d,bb81df0a218bab2667f272adf597a188,27925,macae,RJ
1798df51bcc12309eb0ac35f5bb5875f,23bfe8fb29068a3a072d76d2604e99b9,24140,niteroi,RJ
837cf66598995d5f51efd00d99ced139,d28e54a9487cb4d360a09e7a96681e20,6331,carapicuiba,SP
f7838e5eeb3271df42376952e651e403,3725c5b8c1cf5ee69158f66922a862c4,71625,brasilia,DF
acb6cc6ec99086b8b53c858a0731c189,87dff19086a1aa321cf06195ab40631c,22785,rio de janeiro,RJ
e7c5f957b0de4d073c09a91b8bfaa215,932a72c073c57e644beff5c85010c0a1,35610,dores do indaia,MG
7fdbfe237a74f478ff41c54678f104ab,3de8a3becddf5418bd75a3a695ebb6a3,16920,castilho,SP
399d1e628c48b7c3b6389098be566cfd,0ee84527dd65b0a7fadd79df2fc273fe,2377,sao paulo,SP
c14cec6645dffb638b0cbbf9daf4a557,0a4e2ad7c04efe811bc08978563c7b09,6460,barueri,SP
3d64d81cb7d22325994c3ef4ad93d2e0,c5f6047fb345ffd234cf5b26268988be,18305,capao bonito,SP
0c45155afd8ff99622c40824057f9b34,87ae4c644c15d9c6b6f826dfec33b340,27273,volta redonda,RJ
cc2db083341ec9bb757b9f9a70b289d9,ea9657105a8bd47c0a60e1f2a8f2842d,35460,brumadinho,MG
44344e9f944a5692177be10177f62fba,95b1cb35aa91d54d59bc51c85b4de0a6,29780,sao gabriel da palha,ES
0d8111a81ce6ed7cb969e28a01392f63,1c7255916dd10f4dae06f9f3c307a393,29313,cachoeiro de itapemirim,ES
a62843b08086d1629415a203a7fd419d,b32ff8caad5902c55fa167e7dc77cc69,15768,santa salete,SP
e3b91047e6ca3f5e8b656750fa3d61b2,02b3bd80b9721b83c5b155ace3feede9,35519,nova serrana,MG
0c7a95280b3f80eadd81c829e093dbec,46a5335f5fe2f04744ec3535fc6e36f7,65066,sao luis,MA
3c52d94017a3d96915999f30cf42a9ce,ebcca806966fdf4317d0741eeee16004,13344,indaiatuba,SP
bd8d067426b640b65c68dd3ee6c71d46,42bb190d26c930a9e7488bf0abbe87ff,91130,porto alegre,RS
e1f35a414cbae52d09c294b3e58c3e89,a6f9ff98ef3cedac9d8a2b88afc89972,75144,anapolis,GO
cbde8134b8a718381d08167dfc58ec8c,137b3b977306da3cbeb1b552378f08e2,85903,toledo,PR
c87e0e6aa4b3321adb017785ff605af2,0697142614905a50813d854fa08b8eaf,11425,guaruja,SP
c476ddfbabfa4624603e0b7f8e245057,5b861df2503dbc8ca307dfb7e18b300b,20720,rio de janeiro,RJ
1c1bfb2cd4aa789067295941c42120ff,3f7fe16073dbdd44c23f327bab3def2c,65912,imperatriz,MA
fd967f807427c24072652b1f62d4fe47,2c06826e53407560a26cc44d66d22726,90620,porto alegre,RS
fd10113c54f4f4bfcaacbd1c2d188a77,db9fa24c8ae633ca73fb9b8cf741574e,30575,belo horizonte,MG
f9f9943ef9d29a86f10de3b43cd84356,2b40d79d838a6fa4022ee7f7070bcd6d,18080,sorocaba,SP
4c91265edcfe58dd5ce2dcdb2fba7813,289bc385e927d2777efdd16b74040d1c,89239,joinville,SC
0ffe52b2e3ef0d91f5387dbcca59a841,7d0d8854f71d47ae116e13924548c421,72306,brasilia,DF
a7089cdfb6b910afd377368f3335b1e5,e1271d8a2ce007bdd8b40df8a0ded843,9230,santo andre,SP
2355af7c75e7c98b43a87b2a7f210dc5,9e4159995424971423b98c4a8bc11529,6600,jandira,SP
d14c86b99a98e85b5c256c081e3cea03,297ec5afd18366f5ba27520cc4954151,5549,sao paulo,SP
16150771dfd4776261284213b89c304e,639d23421f5517f69d0c3d6e6564cf0e,11075,santos,SP
6d3be2594860b9675c102aa88d71992e,4465b5c91c87e80f405456b8c3fef46c,65062,sao luis,MA
7995a0161ac789e3a05607de1620d517,2c3ed77b92cba1f5622b5ccaa1792b8b,21380,rio de janeiro,RJ
0f2a7baf176f693c27c891360da9ef2c,7e198addd609b9169441891b3f0df2b1,88308,itajai,SC
57ef317d4818cb42680fc9dfd13867ce,e883f26917e2095c439f70c2cf8c914b,22461,rio de janeiro,RJ
f5958334207adf09817b5451cba61651,8262ef5046932be5b3279393f8476614,58345,mari,PB
247d810acdcbc96b05e98fa5ddbc250e,6463b8a3ff77bb42c87e658a99f9e1ae,29048,vitoria,ES
