review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
eb6d75bedecae7b3dbea11b8530637d8,00b9e0f8f588d0406a3de447eb606970,5,,Excelente produto.,2018-02-17 00:00:00,2018-02-19 16:20:08
19910e37f2130c56f553edfbdc0c65fb,00b12f4674177ef40c4bdb034138c843,5,Ótimo custo x benefício,Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,2018-07-21 00:00:00,2018-07-24 13:29:35
f11d548dc1a7c713bff0b6d2ef0dff7c,0016dfedd97fc2950e388d2971d718c7,5,,,2017-05-23 00:00:00,2017-05-24 20:08:51
9e96e374304db42a8aecd4a97d53cc1b,00f251b943aba645652c7138e4716fee,5,Super recomendado,Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.,2018-08-21 00:00:00,2018-08-22 11:09:52
f99ff17e430a53efe61d359faa3b425e,009838529bb913846ab6670d22865381,3,PRODUTO COM DEFEITO,SOLICITEI DEVOLUÇÃO. PRODUTO COM DEFEITO,2018-06-27 00:00:00,2018-06-28 11:09:14
8ec042451b89064557a26251a05b9549,006e91ddb0674525f84ce0da0655c7ba,4,,"O produto chegou como eu imaginava,por enquanto estou gostando
",2018-04-17 00:00:00,2018-04-19 23:22:20
2d2ef3021d5a4856e7774efa91ac1c6d,01405161cfdf60dd80df1f393a2796d5,3,,,2018-08-21 00:00:00,2018-08-21 17:27:42
19b4862e9952de13d95f480bb053955d,0121cfa7c946e6589f50d7012d3eb5eb,5,,"Recebi o produto que queria e antes do prazo combinado, muito bom, recomendo com certeza.",2017-09-07 00:00:00,2017-09-08 14:56:50
9a7e6c8bad289a9e0140a1ad20e74819,00cf47526e0f7920b381b2baf4ecf1c7,4,,,2017-02-17 00:00:00,2017-02-17 22:59:53
23e790c68acbe511dd7b94c6707f2e41,004f5d8f238e8908e6864b874eda3391,3,,,2018-03-23 00:00:00,2018-03-23 10:19:03
d48d8cf67fee1056aef5deb18770de55,00254baeb6c932b0a8aeead91fbd02b5,5,,,2018-05-31 00:00:00,2018-05-31 23:19:37
8538822c4c9eb266f02f91ff3b53e9fe,009c278fa2ed6e7ec498200b60193ca8,5,,Sempre cumpre os prazos de entregues,2018-02-01 00:00:00,2018-02-04 20:43:30
3c2171b3d99d0b0a89e4364cd42170df,0103878b7ed86b6ec873cfae01379472,5,,,2018-08-23 00:00:00,2018-08-25 02:41:30
b88d13fe58cb01fe8acd1cc517f35e8a,0128412231f9fe9d7e944eea5392fc6b,5,,"Tudo certinho, obrigada.",2018-08-31 00:00:00,2018-09-04 12:12:28
dac5e910d571f7e017ac236f73eaea39,00c826c901ab01b6f598a8f0c9b56b82,5,,,2018-05-03 00:00:00,2018-05-03 20:16:59
050dc4d6c3121ff334c4958e2169cef8,0132158c30672a8c52997a2492613ec2,5,,"Atendimento perfeito, dando garantia ao cliente.",2017-03-16 00:00:00,2017-03-17 17:07:32
